Provinsi,Komoditas,Bulan,Harga
Aceh,Beras Premium,Juli,14610
Sumatera Utara,Beras Premium,Juli,15210
Sumatera Barat,Beras Premium,Juli,17390
Riau,Beras Premium,Juli,16110
Jambi,Beras Premium,Juli,14630
Sumatera Selatan,Beras Premium,Juli,14010
Bengkulu,Beras Premium,Juli,15370
Lampung,Beras Premium,Juli,14300
Kepulauan Bangka Belitung,Beras Premium,Juli,16240
Kepulauan Riau,Beras Premium,Juli,16230
DKI Jakarta,Beras Premium,Juli,15710
Jawa Barat,Beras Premium,Juli,14690
Jawa Tengah,Beras Premium,Juli,14780
D.I Yogyakarta,Beras Premium,Juli,14360
Jawa Timur,Beras Premium,Juli,14590
Banten,Beras Premium,Juli,15110
Bali,Beras Premium,Juli,15160
Nusa Tenggara Barat,Beras Premium,Juli,14600
Nusa Tenggara Timur,Beras Premium,Juli,15690
Kalimantan Barat,Beras Premium,Juli,17270
Kalimantan Tengah,Beras Premium,Juli,17500
Kalimantan Selatan,Beras Premium,Juli,16540
Kalimantan Timur,Beras Premium,Juli,17390
Kalimantan Utara,Beras Premium,Juli,17060
Sulawesi Utara,Beras Premium,Juli,14930
Sulawesi Tengah,Beras Premium,Juli,15550
Sulawesi Selatan,Beras Premium,Juli,14660
Sulawesi Tenggara,Beras Premium,Juli,14520
Gorontalo,Beras Premium,Juli,15020
Sulawesi Barat,Beras Premium,Juli,14570
Maluku,Beras Premium,Juli,17750
Maluku Utara,Beras Premium,Juli,18040
Papua Barat,Beras Premium,Juli,18400
Papua,Beras Premium,Juli,17860
Papua Barat Daya,Beras Premium,Juli,18060
Papua Pegunungan,Beras Premium,Juli,20000
Papua Tengah,Beras Premium,Juli,18960
Papua Selatan,Beras Premium,Juli,15000
Aceh,Beras Medium,Juli,13350
Sumatera Utara,Beras Medium,Juli,13920
Sumatera Barat,Beras Medium,Juli,14930
Riau,Beras Medium,Juli,13880
Jambi,Beras Medium,Juli,13060
Sumatera Selatan,Beras Medium,Juli,12230
Bengkulu,Beras Medium,Juli,13440
Lampung,Beras Medium,Juli,12560
Kepulauan Bangka Belitung,Beras Medium,Juli,14370
Kepulauan Riau,Beras Medium,Juli,14240
DKI Jakarta,Beras Medium,Juli,13720
Jawa Barat,Beras Medium,Juli,12730
Jawa Tengah,Beras Medium,Juli,12950
D.I Yogyakarta,Beras Medium,Juli,12830
Jawa Timur,Beras Medium,Juli,12540
Banten,Beras Medium,Juli,12730
